omega_i_max,omega_r,c_r,c_i,idx,n_spurious,alpha,beta,Fr,Cf,Re,N,profile_mode
0.11629669665269372,0.670203625280902,0.670203625280902,0.11629669665269372,0,43,0.05,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.01255225335729623,0.7539510537807921,0.7539510537807921,-0.01255225335729623,1,43,0.2530612244897959,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.013299514387488425,0.7541578468709478,0.7541578468709478,-0.013299514387488425,1,41,0.4561224489795918,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.013473117514128094,0.754205801442162,0.754205801442162,-0.013473117514128094,1,41,0.6591836734693878,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.013539427612807013,0.7542241096867798,0.7542241096867798,-0.013539427612807013,1,41,0.8622448979591837,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.013571601678232877,0.754232991235863,0.754232991235863,-0.013571601678232877,1,41,1.0653061224489797,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.013589605565559805,0.7542379606609466,0.7542379606609466,-0.013589605565559805,1,41,1.2683673469387755,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.01360068574371895,0.7542410188317763,0.7542410188317763,-0.01360068574371895,1,39,1.4714285714285713,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.013607985715793936,0.7542430335786511,0.7542430335786511,-0.013607985715793936,1,39,1.6744897959183673,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.013613048158166758,0.754244430747315,0.754244430747315,-0.013613048158166758,1,39,1.8775510204081634,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.013616702155286129,0.7542454391857719,0.7542454391857719,-0.013616702155286129,1,39,2.080612244897959,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.013619425546605352,0.7542461907842389,0.7542461907842389,-0.013619425546605352,1,39,2.2836734693877547,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.013621509466828037,0.7542467658967293,0.7542467658967293,-0.013621509466828037,1,39,2.4867346938775508,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.01362313950475218,0.7542472157452461,0.7542472157452461,-0.01362313950475218,1,39,2.6897959183673468,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.013624438500795841,0.7542475742325498,0.7542475742325498,-0.013624438500795841,1,39,2.8928571428571423,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.013625490383414107,0.7542478645220991,0.7542478645220991,-0.013625490383414107,1,39,3.0959183673469384,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.01362635407737316,0.7542481028759443,0.7542481028759443,-0.01362635407737316,1,39,3.2989795918367344,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.013627071935016504,0.7542483009828431,0.7542483009828431,-0.013627071935016504,1,39,3.5020408163265304,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.013627675033486768,0.7542484674190764,0.7542484674190764,-0.013627675033486768,1,39,3.7051020408163264,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.013628186590493311,0.7542486085925159,0.7542486085925159,-0.013628186590493311,1,39,3.908163265306122,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.013628624237269354,0.7542487293687338,0.7542487293687338,-0.013628624237269354,1,39,4.1112244897959185,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.01362900155440624,0.75424883349594,0.75424883349594,-0.01362900155440624,1,39,4.314285714285714,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.013629329141897255,0.7542489238993192,0.7542489238993192,-0.013629329141897255,1,39,4.51734693877551,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.013629615370211842,0.7542490028887443,0.7542490028887443,-0.013629615370211842,1,39,4.720408163265306,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.01362986691946416,0.7542490723078057,0.7542490723078057,-0.01362986691946416,1,39,4.923469387755102,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.01363008917295213,0.7542491336423611,0.7542491336423611,-0.01363008917295213,1,39,5.126530612244897,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.013630286511189194,0.7542491881007152,0.7542491881007152,-0.013630286511189194,1,39,5.329591836734694,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.013630462521541212,0.7542492366735841,0.7542492366735841,-0.013630462521541212,1,39,5.532653061224489,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.025223133039938,0.7542475341674141,0.7542475341674141,-0.025223133039938,2,40,5.735714285714285,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.02522369262422369,0.7542476906457338,0.7542476906457338,-0.02522369262422369,2,40,5.938775510204081,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.025224197629022786,0.7542478318618092,0.7542478318618092,-0.025224197629022786,2,40,6.141836734693877,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.025224654928028434,0.7542479597378023,0.7542479597378023,-0.025224654928028434,2,40,6.344897959183673,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.025225070347288776,0.7542480759025311,0.7542480759025311,-0.025225070347288776,2,40,6.547959183673469,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.02522544884934035,0.754248181743598,0.754248181743598,-0.02522544884934035,2,40,6.7510204081632645,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.025225794680923144,0.754248278449023,0.754248278449023,-0.025225794680923144,2,40,6.954081632653061,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.02522611149646493,0.7542483670407182,0.7542483670407182,-0.02522611149646493,2,40,7.157142857142857,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
-0.02522640245455923,0.7542484484016057,0.7542484484016057,-0.02522640245455923,2,40,7.360204081632653,253.0,0.448,0.0007,8571.42857142857,20,zs_turbulent
