beta,alpha_crit,omega_i_max,omega_r,c_r,c_i,Fr,Cf,Re,N,profile_mode,n_spurious
5.0,10.0,-0.008903234702912884,0.9999999761045136,0.9999999761045136,-0.008903234702912884,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,43
10.0,10.0,-0.01764897007366912,0.9999999987323034,0.9999999987323034,-0.01764897007366912,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,43
15.0,10.0,-0.026429541261506366,0.9999999998254121,0.9999999998254121,-0.026429541261506366,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,43
20.0,0.05,-0.03485313427835671,0.5383168567028361,0.5383168567028361,-0.03485313427835671,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,43
30.0,0.05,0.02663151397093208,0.5690803791423117,0.5690803791423117,0.02663151397093208,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,43
50.0,0.05,0.0827476249096795,0.631738412324456,0.631738412324456,0.0827476249096795,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,43
80.0,0.05,0.1236468855837007,0.602703992456316,0.602703992456316,0.1236468855837007,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,43
100.0,0.05,0.1654952498192561,0.6317384123243818,0.6317384123243818,0.1654952498192561,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,43
130.0,0.05,0.21019416312778735,0.6130121740462748,0.6130121740462748,0.21019416312778735,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,43
150.0,0.05,0.2482428747281933,0.6317384123243823,0.6317384123243823,0.2482428747281933,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,43
200.0,0.05,0.3309905001217606,0.6317384122887062,0.6317384122887062,0.3309905001217606,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,43
250.0,0.05,0.41373813589472547,0.6317384127778525,0.6317384127778525,0.41373813589472547,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,43
300.0,0.05,0.4964847353076359,0.6317384248712422,0.6317384248712422,0.4964847353076359,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,43
