beta,nu_curvature,alpha_crit,omega_i_max,omega_r,c_r,c_i,Fr,Cf,Re,N,profile_mode,U1_mode,A_scour,n_spurious
5.0,0.001,10.0,-0.00890323472971673,0.9999999761202123,0.9999999761202123,-0.00890323472971673,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
10.0,0.001,10.0,-0.01764897007507518,0.9999999987342741,0.9999999987342741,-0.01764897007507518,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
20.0,0.001,0.05,-0.03460851901350727,0.5382840145651335,0.5382840145651335,-0.03460851901350727,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
50.0,0.001,0.05,0.0829344608055881,0.6317314924226005,0.6317314924226005,0.0829344608055881,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
80.0,0.001,0.05,0.12445141888112651,0.602683630605524,0.602683630605524,0.12445141888112651,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
130.0,0.001,0.05,0.21195738970212114,0.6129855511351346,0.6129855511351346,0.21195738970212114,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
200.0,0.001,0.05,0.3339797760969922,0.6317107471392952,0.6317107471392952,0.3339797760969922,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
300.0,0.001,0.05,0.503210477269148,0.6316969399916633,0.6316969399916633,0.503210477269148,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
5.0,0.005,10.0,-0.008903234836351036,0.9999999761830088,0.9999999761830088,-0.008903234836351036,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
10.0,0.005,10.0,-0.017648970080791283,0.9999999987421535,0.9999999987421535,-0.017648970080791283,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
20.0,0.005,0.05,-0.033630349020920866,0.5381528466685095,0.5381528466685095,-0.033630349020920866,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
50.0,0.005,0.05,0.08368176342000715,0.6317038369101149,0.6317038369101149,0.08368176342000715,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
80.0,0.005,0.05,0.12766905972046008,0.602602360357817,0.602602360357817,0.12766905972046008,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
130.0,0.005,0.05,0.21900887118705603,0.6128793815757296,0.6128793815757296,0.21900887118705603,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
200.0,0.005,0.05,0.34593427439626107,0.6316004721118742,0.6316004721118742,0.34593427439626107,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
300.0,0.005,0.05,0.5309615732119428,0.6112617715660783,0.6112617715660783,0.5309615732119428,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
5.0,0.01,10.0,-0.00890323496929941,0.9999999762615075,0.9999999762615075,-0.00890323496929941,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
10.0,0.01,10.0,-0.01764897008789005,0.9999999987520017,0.9999999987520017,-0.01764897008789005,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
20.0,0.01,0.05,-0.03240828775280422,0.5379893401304234,0.5379893401304234,-0.03240828775280422,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
50.0,0.01,0.05,0.08461579982820963,0.6316693217371925,0.6316693217371925,0.08461579982820963,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
80.0,0.01,0.05,0.13169001226560778,0.6025011712291934,0.6025011712291934,0.13169001226560778,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
130.0,0.01,0.05,0.2278200551604341,0.6127473944668504,0.6127473944668504,0.2278200551604341,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
200.0,0.01,0.05,0.3608716166091085,0.631463496085376,0.631463496085376,0.3608716166091085,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
300.0,0.01,0.05,0.5790712437942018,0.6109518018948675,0.6109518018948675,0.5790712437942018,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
5.0,0.02,10.0,-0.008903235233949274,0.9999999764185021,0.9999999764185021,-0.008903235233949274,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
10.0,0.02,10.0,-0.01764897010193693,0.9999999987717006,0.9999999987717006,-0.01764897010193693,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
20.0,0.02,0.05,-0.029966312715157397,0.5376638496710577,0.5376638496710577,-0.029966312715157397,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
50.0,0.02,0.05,0.08648356847798602,0.6316004721421107,0.6316004721421107,0.08648356847798602,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
80.0,0.02,0.05,0.13972831418236642,0.6023001223222454,0.6023001223222454,0.13972831418236642,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
130.0,0.02,0.05,0.24543210214102068,0.6124858369820244,0.6124858369820244,0.24543210214102068,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
200.0,0.02,0.05,0.4095387308849231,0.6017076141056864,0.6017076141056864,0.4095387308849231,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
300.0,0.02,0.05,0.7078928841460314,0.578193761008214,0.578193761008214,0.7078928841460314,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
5.0,0.05,10.0,-0.008903236017310946,0.9999999768895012,0.9999999768895012,-0.008903236017310946,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
10.0,0.05,10.0,-0.017648970142940434,0.9999999988307968,0.9999999988307968,-0.017648970142940434,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
20.0,0.05,0.05,-0.02265712934799984,0.5366997652697374,0.5366997652697374,-0.02265712934799984,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
50.0,0.05,0.05,0.0920844794270755,0.6313953697394747,0.6313953697394747,0.0920844794270755,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
80.0,0.05,0.05,0.16381548924706446,0.6017076137021037,0.6017076137021037,0.16381548924706446,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
130.0,0.05,0.05,0.3067499196551756,0.5751575865038523,0.5751575865038523,0.3067499196551756,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
200.0,0.05,0.05,0.47186270207037834,0.5781820619309047,0.5781820619309047,0.47186270207037834,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
300.0,0.05,0.05,0.7078928841460314,0.578193761008214,0.578193761008214,0.7078928841460314,0.2571,0.001759625,3409.8174326916246,20,zs_turbulent,polynomial_zs,4.0,43
