dam_km,B_m,H_m,D50_mm,beta,U_ms,Fr,Cf_energy,Shields
303.1,741.5,4.548,0.087,163,1.547,0.2317,0.002161,3.67
307.5,570.7,4.94,0.087,115.5,1.851,0.2659,0.00164,3.99
311.5,946.3,3.163,0.087,299.2,1.744,0.3131,0.001183,2.55
317.9,926.8,3.494,0.085,265.3,1.611,0.2753,0.001531,2.9
323.2,741.5,3.614,0.085,205.1,1.947,0.3271,0.001084,3
330.6,546.3,4.88,0.085,112,1.957,0.283,0.001449,4.05
336.6,448.8,6.114,0.083,73.4,1.902,0.2456,0.001923,5.17
342.8,580.5,4.337,0.083,133.8,2.073,0.3178,0.001149,3.67
348.3,536.6,4.096,0.079,131,2.374,0.3746,0.000827,3.62
356.4,673.2,4.759,0.079,141.5,1.629,0.2384,0.00204,4.21
361.9,497.6,5.873,0.079,84.7,1.786,0.2353,0.002095,5.19
367.9,546.3,5.843,,93.5,1.635,0.2159,0.002488,5.48
373.6,380.5,5.542,,68.7,2.475,0.3357,0.001029,5.2
378,219.5,5.934,,37,4.006,0.5252,0.000421,5.56
384.2,829.3,5.813,0.065,142.7,1.083,0.1434,0.005643,6.25
394.3,463.4,3.976,0.065,116.6,2.832,0.4536,0.000564,4.27
400.3,502.4,5.572,0.065,90.2,1.864,0.2521,0.001825,5.99
406.2,502.4,4.548,0.065,110.5,2.284,0.3419,0.000992,4.89
416.8,273.2,5.663,0.078,48.2,3.374,0.4527,0.000566,5.1
421.2,580.5,4.789,0.078,121.2,1.877,0.2739,0.001546,4.31
427.4,385.4,5.331,0.073,72.3,2.54,0.3513,0.00094,5.15
434.2,380.5,5.12,0.073,74.3,2.678,0.378,0.000812,4.94
441.9,736.6,4.036,0.069,182.5,1.755,0.279,0.00149,4.09
447.2,346.3,6.205,0.066,55.8,2.428,0.3113,0.001197,6.62
453.1,336.6,7.169,0.066,47,2.163,0.2579,0.001743,7.65
456.7,400,4.639,0.066,86.2,2.813,0.417,0.000667,4.95
