year,B_bf_m,H_bf_m,Qbf_gc_m3s,Qbf_sk_m3s,Qbf_reach_m3s,n_manning,S,D50_mm,beta,A_m2,U_ms,Fr,Cf_energy,Cf_manning,u_star_ms,Re_star,Shields,Q_manning_m3s
2000,532.4,2.108,2600,2300,2450,,0.000116,0.084,252.6,1122,2.183,0.4801,0.000503,,0.049,4.11,1.77,
2001,546.1,1.783,2400,2500,2450,,0.000116,0.084,306.3,974,2.516,0.6017,0.00032,,0.045,3.78,1.5,
2002,534.2,2.082,2000,2100,2050,0.0123,0.000116,0.084,256.5,1112,1.843,0.4078,0.000698,0.001157,0.0487,4.08,1.75,1592
2003,535.8,2.704,2300,2200,2250,0.0179,0.000116,0.084,198.2,1449,1.553,0.3016,0.001275,0.002262,0.0555,4.65,2.27,1689
2005,496.5,3.611,4000,3200,3600,0.0182,0.000116,0.084,137.5,1793,2.008,0.3375,0.001018,0.002129,0.0641,5.37,3.03,2490
2007,536.6,3.938,4700,3650,4175,0.0124,0.000116,0.084,136.3,2113,1.976,0.3179,0.001148,0.000963,0.0669,5.61,3.3,4559
2011,592.8,4.598,5400,4100,4750,0.0138,0.000116,0.084,128.9,2726,1.743,0.2595,0.001723,0.001131,0.0723,6.06,3.86,5862
2012,608.3,4.565,5400,4200,4800,0.014,0.000116,0.084,133.3,2777,1.728,0.2583,0.001739,0.001155,0.0721,6.04,3.83,5890
2013,619.5,4.575,5800,4250,5025,0.015,0.000116,0.084,135.4,2834,1.773,0.2647,0.001656,0.001325,0.0721,6.05,3.84,5618
2014,620.5,4.667,6074,4346,5210,0.0193,0.000116,0.084,133,2896,1.799,0.266,0.00164,0.00218,0.0729,6.11,3.91,4518
2015,631.7,4.769,6074,4330,5202,0.0202,0.000116,0.084,132.5,3012,1.727,0.2525,0.001819,0.002371,0.0737,6.18,4,4556
2016,623.7,4.712,6090,4346,5218,0.0206,0.000116,0.084,132.4,2939,1.776,0.2612,0.0017,0.002488,0.0732,6.14,3.95,4313
2017,625.4,4.789,6090,4330,5210,0.0184,0.000116,0.084,130.6,2995,1.74,0.2538,0.0018,0.00197,0.0738,6.19,4.02,4981
2019,652.4,4.959,6485,4379,5432,0.0176,0.000116,0.084,131.6,3235,1.679,0.2408,0.002,0.001781,0.0751,6.3,4.16,5756
2021,665,5.088,,,,,0.000116,0.084,130.7,3383,,,,,0.0761,6.38,4.27,
