Cf,Fr,omega_i_max,alpha_crit
0.000300,0.0800,0.051401,0.009310
0.000300,0.1162,0.051392,0.009304
0.000300,0.1525,0.051379,0.009296
0.000300,0.1887,0.051362,0.009285
0.000300,0.2250,0.051342,0.009273
0.000300,0.2612,0.051319,0.009259
0.000300,0.2975,0.051292,0.009243
0.000300,0.3337,0.051262,0.009224
0.000300,0.3700,0.051229,0.009204
0.000300,0.4062,0.051192,0.009182
0.000300,0.4425,0.051153,0.009158
0.000300,0.4788,0.051110,0.009132
0.000300,0.5150,0.051063,0.009105
0.000300,0.5512,0.051014,0.009076
0.000300,0.5875,0.050962,0.009046
0.000300,0.6237,0.050907,0.009014
0.000300,0.6600,0.050849,0.008981
0.000300,0.6962,0.050788,0.008946
0.000300,0.7325,0.050724,0.008911
0.000300,0.7687,0.050658,0.008874
0.000300,0.8050,0.050589,0.008836
0.000300,0.8412,0.050518,0.008802
0.000300,0.8775,0.050444,0.008750
0.000300,0.9137,0.050368,0.008718
0.000300,0.9500,0.050289,0.008678
0.000363,0.0800,0.063330,0.009962
0.000363,0.1162,0.063316,0.009956
0.000363,0.1525,0.063296,0.009947
0.000363,0.1887,0.063272,0.009935
0.000363,0.2250,0.063242,0.009921
0.000363,0.2612,0.063208,0.009905
0.000363,0.2975,0.063168,0.009886
0.000363,0.3337,0.063123,0.009865
0.000363,0.3700,0.063073,0.009842
0.000363,0.4062,0.063019,0.009817
0.000363,0.4425,0.062960,0.009789
0.000363,0.4788,0.062896,0.009760
0.000363,0.5150,0.062827,0.009728
0.000363,0.5512,0.062754,0.009695
0.000363,0.5875,0.062676,0.009660
0.000363,0.6237,0.062594,0.009624
0.000363,0.6600,0.062508,0.009585
0.000363,0.6962,0.062418,0.009545
0.000363,0.7325,0.062323,0.009504
0.000363,0.7687,0.062225,0.009461
0.000363,0.8050,0.062123,0.009417
0.000363,0.8412,0.062017,0.009372
0.000363,0.8775,0.061907,0.009326
0.000363,0.9137,0.061794,0.009279
0.000363,0.9500,0.061677,0.009231
0.000440,0.0800,0.076734,0.010675
0.000440,0.1162,0.076713,0.010668
0.000440,0.1525,0.076685,0.010658
0.000440,0.1887,0.076650,0.010645
0.000440,0.2250,0.076607,0.010630
0.000440,0.2612,0.076557,0.010612
0.000440,0.2975,0.076499,0.010592
0.000440,0.3337,0.076435,0.010569
0.000440,0.3700,0.076363,0.010544
0.000440,0.4062,0.076284,0.010516
0.000440,0.4425,0.076198,0.010461
0.000440,0.4788,0.076106,0.010429
0.000440,0.5150,0.076006,0.010395
0.000440,0.5512,0.075901,0.010359
0.000440,0.5875,0.075789,0.010321
0.000440,0.6237,0.075670,0.010282
0.000440,0.6600,0.075546,0.010241
0.000440,0.6962,0.075415,0.010213
0.000440,0.7325,0.075279,0.010166
0.000440,0.7687,0.075137,0.010109
0.000440,0.8050,0.074990,0.010059
0.000440,0.8412,0.074837,0.010016
0.000440,0.8775,0.074679,0.009963
0.000440,0.9137,0.074517,0.009909
0.000440,0.9500,0.074349,0.009854
0.000533,0.0800,0.091631,0.011412
0.000533,0.1162,0.091602,0.011404
0.000533,0.1525,0.091562,0.011393
0.000533,0.1887,0.091512,0.011379
0.000533,0.2250,0.091451,0.011362
0.000533,0.2612,0.091380,0.011342
0.000533,0.2975,0.091299,0.011319
0.000533,0.3337,0.091208,0.011293
0.000533,0.3700,0.091106,0.011265
0.000533,0.4062,0.090995,0.011234
0.000533,0.4425,0.090874,0.011200
0.000533,0.4788,0.090743,0.011164
0.000533,0.5150,0.090603,0.011126
0.000533,0.5512,0.090454,0.011085
0.000533,0.5875,0.090296,0.011032
0.000533,0.6237,0.090129,0.010987
0.000533,0.6600,0.089953,0.010939
0.000533,0.6962,0.089770,0.010889
0.000533,0.7325,0.089578,0.010838
0.000533,0.7687,0.089378,0.010810
0.000533,0.8050,0.089171,0.010756
0.000533,0.8412,0.088956,0.010699
0.000533,0.8775,0.088734,0.010642
0.000533,0.9137,0.088506,0.010583
0.000533,0.9500,0.088271,0.010497
0.000646,0.0800,0.107995,0.012208
0.000646,0.1162,0.107955,0.012200
0.000646,0.1525,0.107900,0.012188
0.000646,0.1887,0.107831,0.012173
0.000646,0.2250,0.107747,0.012156
0.000646,0.2612,0.107649,0.012135
0.000646,0.2975,0.107536,0.012112
0.000646,0.3337,0.107409,0.012086
0.000646,0.3700,0.107269,0.012031
0.000646,0.4062,0.107115,0.012000
0.000646,0.4425,0.106947,0.011967
0.000646,0.4788,0.106766,0.011932
0.000646,0.5150,0.106573,0.011888
0.000646,0.5512,0.106367,0.011848
0.000646,0.5875,0.106148,0.011795
0.000646,0.6237,0.105918,0.011744
0.000646,0.6600,0.105675,0.011690
0.000646,0.6962,0.105422,0.011635
0.000646,0.7325,0.105157,0.011572
0.000646,0.7687,0.104882,0.011512
0.000646,0.8050,0.104597,0.011449
0.000646,0.8412,0.104301,0.011385
0.000646,0.8775,0.103996,0.011319
0.000646,0.9137,0.103681,0.011252
0.000646,0.9500,0.103358,0.011183
0.000783,0.0800,0.125756,0.013053
0.000783,0.1162,0.125701,0.013042
0.000783,0.1525,0.125627,0.013028
0.000783,0.1887,0.125532,0.013010
0.000783,0.2250,0.125418,0.012989
0.000783,0.2612,0.125284,0.012964
0.000783,0.2975,0.125131,0.012935
0.000783,0.3337,0.124959,0.012906
0.000783,0.3700,0.124768,0.012870
0.000783,0.4062,0.124558,0.012831
0.000783,0.4425,0.124331,0.012789
0.000783,0.4788,0.124085,0.012744
0.000783,0.5150,0.123822,0.012670
0.000783,0.5512,0.123543,0.012638
0.000783,0.5875,0.123246,0.012585
0.000783,0.6237,0.122933,0.012527
0.000783,0.6600,0.122605,0.012466
0.000783,0.6962,0.122262,0.012397
0.000783,0.7325,0.121903,0.012323
0.000783,0.7687,0.121531,0.012268
0.000783,0.8050,0.121145,0.012204
0.000783,0.8412,0.120745,0.012112
0.000783,0.8775,0.120333,0.012044
0.000783,0.9137,0.119908,0.011974
0.000783,0.9500,0.119472,0.011898
0.000949,0.0800,0.144793,0.013924
0.000949,0.1162,0.144720,0.013912
0.000949,0.1525,0.144620,0.013896
0.000949,0.1887,0.144494,0.013876
0.000949,0.2250,0.144340,0.013841
0.000949,0.2612,0.144161,0.013811
0.000949,0.2975,0.143956,0.013778
0.000949,0.3337,0.143726,0.013747
0.000949,0.3700,0.143470,0.013708
0.000949,0.4062,0.143190,0.013652
0.000949,0.4425,0.142885,0.013614
0.000949,0.4788,0.142557,0.013553
0.000949,0.5150,0.142206,0.013500
0.000949,0.5512,0.141832,0.013449
0.000949,0.5875,0.141436,0.013386
0.000949,0.6237,0.141019,0.013334
0.000949,0.6600,0.140581,0.013264
0.000949,0.6962,0.140123,0.013177
0.000949,0.7325,0.139646,0.013111
0.000949,0.7687,0.139150,0.013032
0.000949,0.8050,0.138636,0.012952
0.000949,0.8412,0.138104,0.012871
0.000949,0.8775,0.137557,0.012799
0.000949,0.9137,0.136993,0.012694
0.000949,0.9500,0.130791,0.020931
0.001149,0.0800,0.167002,0.023997
0.001149,0.1162,0.166947,0.023980
0.001149,0.1525,0.166871,0.023957
0.001149,0.1887,0.166775,0.023930
0.001149,0.2250,0.166659,0.023893
0.001149,0.2612,0.166523,0.023852
0.001149,0.2975,0.166367,0.023805
0.001149,0.3337,0.166192,0.023753
0.001149,0.3700,0.165998,0.023694
0.001149,0.4062,0.165784,0.023630
0.001149,0.4425,0.165552,0.023560
0.001149,0.4788,0.165302,0.023484
0.001149,0.5150,0.165033,0.023402
0.001149,0.5512,0.164747,0.023314
0.001149,0.5875,0.164444,0.023239
0.001149,0.6237,0.164124,0.023146
0.001149,0.6600,0.163787,0.023047
0.001149,0.6962,0.163434,0.022945
0.001149,0.7325,0.163066,0.022841
0.001149,0.7687,0.162682,0.022733
0.001149,0.8050,0.162284,0.022622
0.001149,0.8412,0.161871,0.022507
0.001149,0.8775,0.161445,0.022390
0.001149,0.9137,0.161005,0.022269
0.001149,0.9500,0.160552,0.022146
0.001392,0.0800,0.201755,0.025533
0.001392,0.1162,0.201675,0.025519
0.001392,0.1525,0.201567,0.025500
0.001392,0.1887,0.201429,0.025467
0.001392,0.2250,0.201263,0.025428
0.001392,0.2612,0.201068,0.025381
0.001392,0.2975,0.200844,0.025328
0.001392,0.3337,0.200593,0.025269
0.001392,0.3700,0.200315,0.025204
0.001392,0.4062,0.200009,0.025132
0.001392,0.4425,0.199677,0.025059
0.001392,0.4788,0.199318,0.024975
0.001392,0.5150,0.198934,0.024889
0.001392,0.5512,0.198525,0.024789
0.001392,0.5875,0.198092,0.024687
0.001392,0.6237,0.197634,0.024581
0.001392,0.6600,0.197153,0.024469
0.001392,0.6962,0.196650,0.024353
0.001392,0.7325,0.196124,0.024258
0.001392,0.7687,0.195578,0.024133
0.001392,0.8050,0.195010,0.024004
0.001392,0.8412,0.194423,0.023872
