year,link_id,sample_idx,s_m,lon,lat,B_m,C_1m
2021,0,0,0.00,115.860977,35.904898,971.78,0.01151279
2021,0,1,31.44,115.861297,35.904948,1210.99,0.01111244
2021,0,2,62.88,115.861516,35.905168,1151.19,0.01071208
2021,1,0,0.00,115.861516,35.905168,642.87,-0.00115640
2021,1,1,99.73,115.862412,35.904811,598.02,-0.00167274
2021,1,2,199.46,115.863209,35.904284,612.97,-0.00056175
2021,1,3,299.20,115.863906,35.903587,627.92,0.00053279
2021,1,4,398.93,115.864802,35.903230,642.87,-0.00053279
2021,1,5,498.66,115.865499,35.902532,657.82,0.00056175
2021,1,6,598.39,115.866296,35.902005,687.72,0.00109454
2021,1,7,698.12,115.867192,35.901648,657.82,-0.00056175
2021,1,8,797.86,115.867988,35.901121,717.63,-0.00056175
2021,1,9,897.59,115.868785,35.900594,717.63,0.00000000
2021,1,10,997.32,115.869582,35.900067,717.63,0.00056175
2021,1,11,1097.05,115.870378,35.899540,702.67,0.00056175
2021,1,12,1196.78,115.871274,35.899183,702.67,-0.00056175
2021,1,13,1296.51,115.872071,35.898656,717.63,-0.00056175
2021,1,14,1396.25,115.872867,35.898129,717.63,-0.00053279
2021,1,15,1495.98,115.873664,35.897602,657.82,-0.00102789
2021,1,16,1595.71,115.874361,35.896904,672.77,0.00053279
2021,1,17,1695.44,115.875058,35.896207,657.82,0.00116957
2021,1,18,1795.17,115.875954,35.895850,657.82,0.00000000
2021,1,19,1894.91,115.876677,35.895197,642.87,0.00027393
2021,1,20,1994.64,115.877548,35.894796,657.82,-0.00050872
2021,1,21,2094.37,115.878344,35.894269,657.82,-0.00041562
2021,1,22,2194.10,115.879046,35.893580,627.92,0.00104378
2021,1,23,2293.83,115.879937,35.893215,627.92,-0.00000000
2021,1,24,2393.57,115.880734,35.892688,612.97,-0.00106786
2021,1,25,2493.30,115.881531,35.892160,583.07,-0.00053279
2021,1,26,2593.03,115.882228,35.891463,538.22,-0.00000000
2021,1,27,2692.76,115.883024,35.890936,523.27,-0.00000000
2021,1,28,2792.49,115.883722,35.890239,448.52,0.00000000
2021,1,29,2892.22,115.884518,35.889712,418.61,-0.00008539
2021,1,30,2991.96,115.885215,35.889015,328.91,0.00053279
2021,1,31,3091.69,115.885995,35.888459,224.26,-0.00142282
2021,1,32,3191.42,115.886809,35.887960,254.16,-0.00309463
2021,1,33,3291.15,115.886879,35.887082,313.96,-0.00049092
2021,1,34,3390.88,115.887367,35.886324,313.96,-0.00000000
2021,1,35,3490.62,115.887657,35.885509,493.37,-0.00109569
2021,1,36,3590.35,115.887925,35.884688,553.17,-0.00250492
2021,1,37,3690.08,115.887979,35.883930,583.07,-0.00324544
2021,1,38,3789.81,115.887491,35.883173,568.12,-0.00178772
2021,1,39,3889.54,115.887003,35.882415,538.22,-0.00100351
2021,1,40,3989.28,115.886306,35.881718,538.22,-0.00000000
2021,1,41,4089.01,115.885609,35.881021,538.22,0.00048931
2021,1,42,4188.74,115.885121,35.880263,478.42,-0.00048931
2021,1,43,4288.47,115.884423,35.879566,418.61,-0.00097862
2021,10,0,0.00,115.872566,35.869595,403.66,-0.00100314
2021,10,1,99.11,115.871873,35.868902,418.61,-0.00056810
2021,10,2,198.22,115.871081,35.868379,403.66,0.00000000
2021,10,3,297.34,115.870375,35.867708,448.52,0.00051019
2021,10,4,396.45,115.869596,35.867164,388.71,0.00050157
2021,10,5,495.56,115.869062,35.866425,418.61,-0.00086987
2021,10,6,594.67,115.868320,35.865888,433.57,-0.00050157
2021,10,7,693.79,115.867528,35.865365,463.47,0.00092778
2021,10,8,792.90,115.866835,35.864673,463.47,0.00000000
2021,10,9,892.01,115.866143,35.863980,493.37,-0.00079072
2021,10,10,991.12,115.865351,35.863457,493.37,-0.00000000
2021,10,11,1090.24,115.864604,35.862857,463.47,0.00056690
2021,10,12,1189.35,115.863866,35.862242,463.47,0.00050157
2021,10,13,1288.46,115.863173,35.861549,463.47,-0.00027775
2021,10,14,1387.57,115.862480,35.860857,463.47,-0.00104151
2021,10,15,1486.69,115.861688,35.860334,448.52,-0.00053994
2021,10,16,1585.80,115.860896,35.859811,463.47,-0.00000000
2021,10,17,1684.91,115.860104,35.859289,448.52,0.00053994
2021,10,18,1784.02,115.859312,35.858766,493.37,0.00053994
2021,10,19,1883.14,115.858619,35.858074,493.37,-0.00110670
2021,10,20,1982.25,115.857827,35.857551,493.37,-0.00053994
2021,10,21,2081.36,115.856936,35.857198,478.42,0.00110442
2021,10,22,2180.47,115.856243,35.856506,463.47,0.00000000
2021,10,23,2279.59,115.855451,35.855983,448.52,-0.00053766
2021,10,24,2378.70,115.854659,35.855461,448.52,-0.00000000
2021,10,25,2477.81,115.853867,35.854938,478.42,0.00000000
2021,10,26,2576.92,115.853075,35.854415,433.57,0.00000000
2021,10,27,2676.03,115.852283,35.853893,418.61,-0.00056929
2021,10,28,2775.15,115.851490,35.853370,373.76,-0.00098559
2021,10,29,2874.26,115.850599,35.853018,328.91,0.00056929
2021,10,30,2973.37,115.849736,35.852616,299.01,0.00109230
2021,10,31,3072.48,115.849015,35.851973,284.06,-0.00056929
2021,10,32,3171.60,115.848171,35.851538,254.16,-0.00037741
2021,10,33,3270.71,115.847331,35.851098,239.21,0.00010751
2021,10,34,3369.82,115.846539,35.850575,254.16,-0.00029859
2021,10,35,3468.93,115.845666,35.850191,224.26,-0.00080277
2021,10,36,3568.05,115.844856,35.849700,254.16,-0.00189922
2021,10,37,3667.16,115.843865,35.849518,269.11,-0.00177604
2021,10,38,3766.27,115.842847,35.849382,299.01,-0.00015466
2021,10,39,3865.38,115.841749,35.849382,328.91,0.00041742
2021,10,40,3964.50,115.840809,35.849113,358.81,-0.00130324
2021,10,41,4063.61,115.839712,35.849113,418.61,-0.00162537
2021,10,42,4162.72,115.838712,35.849280,433.57,0.00019201
2021,10,43,4261.83,115.837675,35.849382,508.32,0.00000000
2021,10,44,4360.95,115.836578,35.849382,568.12,-0.00171025
2021,10,45,4460.06,115.835638,35.849652,538.22,-0.00148314
2021,10,46,4559.17,115.834749,35.850009,553.17,-0.00032840
2021,10,47,4658.28,115.833858,35.850361,538.22,0.00024571
2021,10,48,4757.40,115.832976,35.850730,538.22,0.00062880
2021,10,49,4856.51,115.832036,35.850999,553.17,-0.00046120
2021,10,50,4955.62,115.831096,35.851269,568.12,-0.00093018
2021,10,51,5054.73,115.830292,35.851771,568.12,0.00067618
2021,10,52,5153.85,115.829374,35.852077,553.17,0.00019853
2021,10,53,5252.96,115.828434,35.852347,568.12,-0.00080344
2021,10,54,5352.07,115.827618,35.852828,538.22,0.00053387
2021,10,55,5451.18,115.826711,35.853155,553.17,0.00093018
2021,10,56,5550.29,115.825771,35.853425,493.37,0.00019778
2021,10,57,5649.41,115.824832,35.853694,493.37,0.00000000
2021,10,58,5748.52,115.823892,35.853964,493.37,0.00023916
2021,10,59,5847.63,115.822952,35.854233,463.47,-0.00000000
2021,10,60,5946.74,115.821971,35.854433,478.42,-0.00022467
2021,10,61,6045.86,115.821072,35.854772,433.57,0.00054509
2021,10,62,6144.97,115.820089,35.854967,403.66,-0.00000000
2021,10,63,6244.08,115.819098,35.855150,418.61,-0.00053060
2021,10,64,6343.19,115.818206,35.855502,403.66,0.00062642
2021,10,65,6442.31,115.817216,35.855684,418.61,-0.00058689
2021,10,66,6541.42,115.816215,35.855850,418.61,-0.00247508
2021,10,67,6640.53,115.815433,35.856389,478.42,-0.00252353
2021,100,0,0.00,115.400950,35.583122,1794.06,0.00000000
2021,100,1,81.42,115.401848,35.583122,1794.06,0.00000000
2021,100,2,162.84,115.402747,35.583122,1644.56,0.00000000
2021,100,3,244.26,115.403645,35.583122,822.28,0.00000000
2021,101,0,0.00,115.400950,35.583122,463.47,0.00000000
2021,101,1,98.41,115.400681,35.582313,478.42,0.00000000
2021,101,2,196.82,115.400411,35.581505,463.47,0.00000000
2021,102,0,0.00,115.400411,35.581505,478.42,0.00000000
2021,102,1,97.86,115.400411,35.580623,478.42,0.00000000
2021,102,2,195.73,115.400411,35.579741,538.22,-0.00066361
2021,102,3,293.59,115.400411,35.578859,538.22,-0.00136641
2021,102,4,391.45,115.400142,35.578055,493.37,0.00000000
2021,102,5,489.32,115.399872,35.577252,553.17,0.00070279
2021,102,6,587.18,115.399872,35.576370,508.32,-0.00070279
2021,102,7,685.04,115.399603,35.575566,493.37,-0.00070279
2021,102,8,782.91,115.399333,35.574763,508.32,0.00001016
2021,102,9,880.77,115.399064,35.573959,493.37,0.00056665
2021,102,10,978.64,115.398798,35.573154,478.42,0.00068287
2021,102,11,1076.50,115.398741,35.572289,448.52,-0.00042607
2021,102,12,1174.36,115.398525,35.571470,433.57,0.00000977
2021,102,13,1272.23,115.398255,35.570666,388.71,0.00056221
2021,102,14,1370.09,115.398255,35.569784,388.71,-0.00070279
2021,102,15,1467.95,115.397986,35.568981,373.76,0.00000000
2021,102,16,1565.82,115.397716,35.568177,343.86,0.00136641
2021,102,17,1663.68,115.397716,35.567295,328.91,0.00066361
2021,102,18,1761.54,115.397716,35.566413,299.01,0.00000000
