year,mean,std,median,p10,p90,frac_positive,frac_in_cross_enh
2000,-6.304386705399963e-06,0.001009005397268945,0.0,-0.0009232022831356837,0.0008075727616139463,0.4908312958435208,0.4908312958435208
2001,-5.761920719104389e-06,0.0009309313454779366,1.0879807799396368e-18,-0.0008486885096879416,0.0007618130098392356,0.5038071065989848,0.5038071065989848
2002,9.569842188551492e-06,0.001185761956290047,8.613769086815535e-19,-0.001098109174899449,0.0009981235462758165,0.5026056745801969,0.5026056745801969
2003,2.409668846940871e-06,0.0013210897487785551,0.0,-0.0011749872986784806,0.0011167721293644556,0.49515116942384485,0.49515116942384485
2004,-1.0258543600049498e-05,0.0009538393416645723,6.440481536972013e-19,-0.0008191416552280582,0.0007428857819255722,0.5006281407035176,0.5006281407035176
2005,4.8492345778460305e-06,0.0010101603708039426,3.375535210173755e-05,-0.0009918144219338103,0.0008637679179513122,0.516188149053146,0.516188149053146
2006,1.1827528550837142e-05,0.00115329118755779,7.187264156261319e-19,-0.0010200314523124091,0.0010599350488165963,0.5032220269478618,0.5032220269478618
2007,3.79546884089173e-07,0.001320416110851613,0.0,-0.001199340458405548,0.0011825447850324976,0.49616971125515613,0.49616971125515613
2008,9.870132678413055e-06,0.0011458860429003222,0.0,-0.001173742678846057,0.0010622294525913577,0.495911214953271,0.495911214953271
2009,1.592070911279826e-05,0.0012778010894758077,6.086897004218465e-19,-0.0014008923809696132,0.001207726841153494,0.5005714285714286,0.5005714285714286
2010,-1.1439443270789393e-05,0.0013120626839672061,2.1894940950997446e-08,-0.0013674058733459788,0.0012479332613784362,0.5075800112296462,0.5075800112296462
2011,1.64667129403171e-05,0.001003769811066431,2.7520932487983413e-05,-0.0010334177331864207,0.0009728789014173327,0.513312693498452,0.513312693498452
2012,4.8410430522584516e-06,0.001063932597413296,0.0,-0.001003704943744893,0.0008665088615190285,0.48886532343584305,0.48886532343584305
2013,-5.065473122395104e-06,0.0013238944350924104,3.2961536501820615e-05,-0.0013275253668102948,0.0011573546368300078,0.5182783018867925,0.5182783018867925
2014,4.228240683015734e-06,0.0011724723850860433,3.435970840138526e-05,-0.001274537469542946,0.0011381126566950063,0.5211940298507463,0.5211940298507463
2015,-3.234241237446248e-06,0.001481802645475983,9.965936666979017e-06,-0.0014524047717277748,0.0013906550889683325,0.5086505190311419,0.5086505190311419
2016,-1.5891106334863045e-05,0.001425864421415155,3.328861970308222e-05,-0.0014362605450909725,0.0012637171595432134,0.5119953188999414,0.5119953188999414
2017,1.6074049304829505e-05,0.0013419613487005723,4.316103714622289e-05,-0.0014278103104585777,0.0013011050647800577,0.5195214105793451,0.5195214105793451
2018,-4.499031063490962e-06,0.0011810987520075248,4.743428221336829e-05,-0.001220476352371875,0.0010605002113970332,0.5281231497927767,0.5281231497927767
2019,-2.8341674764462657e-05,0.000947972719415392,6.323473253928806e-05,-0.0009818071692332053,0.0007269995833701539,0.5514376996805112,0.5514376996805112
2020,3.908813373476811e-06,0.000891959411165899,6.432407755895285e-05,-0.0008576238967694677,0.0007258793416257932,0.5502268308489955,0.5502268308489955
2021,7.0251797588707945e-06,0.0009850744438458304,6.20984370301118e-05,-0.0008864704861183249,0.0007773677454931542,0.5504761904761905,0.5504761904761905
2022,-1.7281493826856617e-05,0.0012442754743163245,6.371535277383809e-05,-0.0011374069321074833,0.0009721424913974792,0.55196017423771,0.55196017423771
2023,2.1563730920607797e-06,0.001226475634286647,6.320809149301909e-05,-0.0014182062681196547,0.0010904444779971803,0.5494137353433836,0.5494137353433836
2024,6.048678558240778e-06,0.0012375600116608482,6.105979073139341e-05,-0.0011978865512699006,0.001050169637825558,0.5421293272371,0.5421293272371
2025,-5.004136256712324e-06,0.0012011666407760557,5.9607369902661954e-05,-0.0011676885744647159,0.0010211458324866178,0.5407665505226481,0.5407665505226481
