dam_km,beta,Fr,Cf,H_m,B_m,omega_i_max,alpha_crit,lambda_crit_m,stability_class,curvature_enh_pct,nu_beta,mode_type,alpha_unstable_min,alpha_unstable_max,n_unstable_frac,m_cm
303.1,163.0,0.2317,0.002161,4.548,741.5,0.24286887120232997,0.01,2857.592677705276,weakly_unstable,1.374544028199454,0.652,long_wave_bend,0.01,0.1606532663316583,0.015,61
307.5,115.5,0.2659,0.00164,4.94,570.7,0.16134823016994784,0.01,3103.893541746716,weakly_unstable,0.493730647483098,0.462,long_wave_bend,0.01,0.1606532663316583,0.015,43
311.5,299.2,0.3131,0.001183,3.163,946.3,0.3612546134661816,0.01,1987.3715126609031,weakly_unstable,2.1039445825424665,1.1968,long_wave_bend,0.01,0.08532663316582914,0.01,112
317.9,265.3,0.2753,0.001531,3.494,926.8,0.35950775485283387,0.01,2195.344946328548,weakly_unstable,0.8687889467714507,1.0612000000000001,long_wave_bend,0.01,0.1606532663316583,0.015,99
323.2,205.1,0.3271,0.001084,3.614,741.5,0.2353053670526556,0.01,2270.7431700147026,weakly_unstable,1.4303849105835593,0.8204,long_wave_bend,0.01,0.08532663316582914,0.01,77
330.6,112.0,0.283,0.001449,4.88,546.3,0.14859155156496687,0.01,3066.194429903638,weakly_unstable,0.5419902259322689,0.448,long_wave_bend,0.01,0.1606532663316583,0.015,42
336.6,73.4,0.2456,0.001923,6.114,448.8,0.10107674614192763,0.01,3841.5394968095993,weakly_unstable,0.8297355198877528,0.2936,long_wave_bend,0.01,0.1606532663316583,0.015,27
342.8,133.8,0.3178,0.001149,4.337,580.5,0.15811506361823335,0.01,2725.0174677237865,weakly_unstable,0.49937477567654553,0.5352,long_wave_bend,0.01,0.08532663316582914,0.01,50
348.3,131.0,0.3746,0.000827,4.096,536.6,0.12825890882995714,0.01,2573.5927018207585,weakly_unstable,0.6377953265058101,0.524,long_wave_bend,0.01,0.08532663316582914,0.01,49
356.4,141.5,0.2384,0.00204,4.759,673.2,0.20961748800940008,0.01,2990.1678876867654,weakly_unstable,0.3632160142677536,0.5660000000000001,long_wave_bend,0.01,0.1606532663316583,0.015,53
361.9,84.7,0.2353,0.002095,5.873,497.6,0.1252184959193534,0.01,3690.1147309065714,weakly_unstable,0.6596649497290151,0.33880000000000005,long_wave_bend,0.01,0.1606532663316583,0.015,32
367.9,93.5,0.2159,0.002488,5.843,546.3,0.15702194048996765,0.08532663316582914,430.2601706843471,weakly_unstable,4.4781779869220815,0.374,long_wave_bend,0.01,0.1606532663316583,0.015,35
373.6,68.7,0.3357,0.001029,5.542,380.5,0.06506622848261716,0.01,3482.1412972389267,weakly_unstable,1.3582837107524586,0.27480000000000004,long_wave_bend,0.01,0.08532663316582914,0.01,26
378.0,37.0,0.5252,0.000421,5.934,219.5,-0.015578516634921841,15.0,2.4856281075202444,near_marginal,1.288327423598183e-09,0.148,short_wave,nan,nan,0.0,14
384.2,142.7,0.1434,0.005643,5.813,829.3,0.6690762370213933,0.08532663316582914,428.05106489613377,weakly_unstable,2.7181599861819805,0.5708,long_wave_bend,0.01,0.3113065326633166,0.025,53
394.3,116.6,0.4536,0.000564,3.976,463.4,0.08560567059259656,0.01,2498.1944781346037,weakly_unstable,1.0266150468991992,0.4664,long_wave_bend,0.01,0.08532663316582914,0.01,44
400.3,90.2,0.2521,0.001825,5.572,502.4,0.12868148369089147,0.01,3500.9908531604656,weakly_unstable,0.6395438809858685,0.3608,long_wave_bend,0.01,0.1606532663316583,0.015,34
406.2,110.5,0.3419,0.000992,4.548,502.4,0.12053969776430247,0.01,2857.592677705276,weakly_unstable,0.6900679587358453,0.442,long_wave_bend,0.01,0.08532663316582914,0.01,41
416.8,48.2,0.4527,0.000566,5.663,273.2,0.005402634657701769,0.01,3558.1678394558,weakly_unstable,21.958875231640786,0.19280000000000003,long_wave_bend,0.01,0.01,0.005,18
421.2,121.2,0.2739,0.001546,4.789,580.5,0.16518998795666862,0.01,3009.017443608304,weakly_unstable,0.4791390191123113,0.4848,long_wave_bend,0.01,0.1606532663316583,0.015,45
427.4,72.3,0.3513,0.00094,5.331,385.4,0.06625546595020543,0.01,3349.5660872574376,weakly_unstable,1.3411826789309012,0.2892,long_wave_bend,0.01,0.08532663316582914,0.01,27
434.2,74.3,0.378,0.000812,5.12,380.5,0.06163481904651938,0.01,3216.990877275948,weakly_unstable,1.4649888917090756,0.2972,long_wave_bend,0.01,0.08532663316582914,0.01,28
441.9,182.5,0.279,0.00149,4.036,736.6,0.24166169211561095,0.01,2535.8935899776807,weakly_unstable,1.3824805488083687,0.73,long_wave_bend,0.01,0.1606532663316583,0.015,68
447.2,55.8,0.3113,0.001197,6.205,346.3,0.04875169804988814,0.01,3898.7164831049336,weakly_unstable,1.8135433436807582,0.22319999999999998,long_wave_bend,0.01,0.08532663316582914,0.01,21
453.1,47.0,0.2579,0.001743,7.169,336.6,0.044577786891825524,0.08532663316582914,527.9026465233757,weakly_unstable,1.5205734113730631,0.188,long_wave_bend,0.01,0.1606532663316583,0.015,18
456.7,86.2,0.417,0.000667,4.639,400.0,0.06604821651526155,0.01,2914.76966400061,weakly_unstable,1.3766326215174753,0.3448,long_wave_bend,0.01,0.08532663316582914,0.01,32
