dam_km,beta,Fr,Cf_energy,sigma_r_max,k_max,alpha_max,lambda_max_m,E_pct,nu_beta
303.1,163.0,0.23,0.00216,0.37,5.4,0.0332,862.0,0.0,0.49
307.5,115.5,0.27,0.00164,0.21,3.34,0.0289,1073.0,0.0,0.38
311.5,299.2,0.31,0.00118,0.403,5.33,0.0178,1116.0,0.0,0.63
317.9,265.3,0.28,0.00153,0.447,6.84,0.0258,851.0,0.0,0.62
323.2,205.1,0.33,0.00108,0.26,3.47,0.0169,1342.0,0.0,0.49
330.6,112.0,0.28,0.00145,0.18,3.18,0.0284,1080.0,0.0,0.36
336.6,73.4,0.25,0.00192,0.152,1.89,0.0257,1494.0,0.0,0.3
342.8,133.8,0.32,0.00115,0.177,3.1,0.0232,1177.0,0.0,0.39
348.3,131.0,0.37,0.00083,0.132,1.7,0.013,1980.0,0.0,0.36
356.4,141.5,0.24,0.00204,0.305,3.82,0.027,1109.0,0.0,0.45
361.9,84.7,0.24,0.0021,0.186,3.3,0.039,947.0,0.0,0.33
367.9,93.5,0.22,0.00249,0.246,3.59,0.0384,957.0,0.0,0.36
373.6,68.7,0.34,0.00103,0.086,1.49,0.0217,1602.0,0.0,0.25
378.0,37.0,0.53,0.00042,-0.001,,,,,0.15
384.2,142.7,0.14,0.00564,0.721,10.12,0.0709,515.0,0.0,0.55
394.3,116.6,0.45,0.00056,0.087,1.42,0.0122,2045.0,0.0,0.31
400.3,90.2,0.25,0.00183,0.18,3.2,0.0355,987.0,0.0,0.34
406.2,110.5,0.34,0.00099,0.132,1.71,0.0155,1842.0,0.0,0.34
416.8,48.2,0.45,0.00057,0.015,1.24,0.0258,1382.0,0.1,0.18
421.2,121.2,0.27,0.00155,0.212,3.32,0.0274,1099.0,0.0,0.39
427.4,72.3,0.35,0.00094,0.083,1.47,0.0203,1649.0,0.0,0.26
434.2,74.3,0.38,0.00081,0.074,1.41,0.0189,1699.0,0.0,0.25
441.9,182.5,0.28,0.00149,0.307,4.93,0.027,940.0,0.0,0.49
447.2,55.8,0.31,0.0012,0.079,1.47,0.0264,1480.0,0.1,0.23
453.1,47.0,0.26,0.00174,0.094,1.58,0.0337,1334.0,0.1,0.22
456.7,86.2,0.42,0.00067,0.073,1.37,0.0159,1832.0,0.0,0.27
