freq_1m,wavelength_m,C_amp,C_psd,C_phase_rad
0,inf,3.46945e-17,7.8482e-35,0
6.83482e-06,146310,0.135888,0.00120396,0.110459
1.36696e-05,73154.8,0.100404,0.000657279,0.580893
2.05045e-05,48769.9,0.0682701,0.000303886,-0.840527
2.73393e-05,36577.4,0.116891,0.000890867,-0.338446
3.41741e-05,29261.9,0.282787,0.00521395,-0.331044
4.10089e-05,24384.9,0.270501,0.00477074,1.74897
4.78437e-05,20901.4,0.275928,0.00496412,-1.09972
5.46785e-05,18288.7,0.188835,0.00232497,-1.49672
6.15134e-05,16256.6,0.0969878,0.000613315,2.86934
6.83482e-05,14631,0.170481,0.00189496,1.60029
7.5183e-05,13300.9,0.127535,0.00106049,0.185274
8.20178e-05,12192.5,0.0506059,0.000166975,-0.0835101
8.88526e-05,11254.6,0.312782,0.00637873,-0.0555896
9.56875e-05,10450.7,0.149667,0.00146049,1.02077
0.000102522,9753.98,0.0875455,0.000499709,1.42964
0.000109357,9144.35,0.267978,0.00468218,3.08047
0.000116192,8606.45,0.197256,0.00253694,2.79037
0.000123027,8128.31,0.22565,0.00331986,-2.69649
0.000129862,7700.51,0.150772,0.00148214,1.43126
0.000136696,7315.48,0.307246,0.0061549,-2.40995
0.000143531,6967.13,0.100896,0.00066374,-2.73801
0.000150366,6650.44,0.467643,0.0142586,-0.187469
0.000157201,6361.29,0.215188,0.00301916,2.66707
0.000164036,6096.24,0.127715,0.00106348,-2.00131
0.00017087,5852.39,0.321254,0.00672895,2.68906
0.000177705,5627.29,0.0980706,0.000627086,1.39295
0.00018454,5418.88,0.131901,0.00113434,-2.3567
0.000191375,5225.34,0.168275,0.00184625,2.0034
0.00019821,5045.16,0.433555,0.0122557,-1.29248
0.000205045,4876.99,0.029275,5.58784e-05,-0.286083
0.000211879,4719.67,0.190694,0.00237094,0.107312
0.000218714,4572.18,0.158911,0.00164648,2.84527
0.000225549,4433.63,0.101891,0.000676898,-2.87209
0.000232384,4303.23,0.13877,0.00125556,3.03612
0.000239219,4180.28,0.0790249,0.000407171,2.09055
0.000246053,4064.16,0.248499,0.00402624,-2.24049
0.000252888,3954.32,0.0960054,0.000600953,-2.99646
0.000259723,3850.25,0.178871,0.00208607,-1.00819
0.000266558,3751.53,0.185399,0.00224112,-2.05643
0.000273393,3657.74,0.168002,0.00184026,0.349472
0.000280228,3568.53,0.0553932,0.000200061,0.7488
0.000287062,3483.56,0.0589165,0.00022632,2.5503
0.000293897,3402.55,0.206186,0.00277184,1.20995
0.000300732,3325.22,0.116618,0.000886703,-0.48167
0.000307567,3251.33,0.235397,0.00361286,-2.06868
0.000314402,3180.64,0.119993,0.000938767,-2.92742
0.000321236,3112.97,0.352809,0.00811576,2.78695
0.000328071,3048.12,0.079447,0.000411533,1.62592
0.000334906,2985.91,0.147302,0.00141471,1.98748
0.000341741,2926.19,0.12605,0.00103593,-0.21159
0.000348576,2868.82,0.0592509,0.000228897,-2.26185
0.000355411,2813.65,0.308788,0.00621683,1.50896
0.000362245,2760.56,0.136086,0.00120746,-2.70813
0.00036908,2709.44,0.0373795,9.10997e-05,-1.89067
0.000375915,2660.18,0.260126,0.0044118,1.89905
0.00038275,2612.67,0.132372,0.00114245,-0.675006
0.000389585,2566.84,0.189389,0.00233861,-1.8505
0.000396419,2522.58,0.230412,0.00346147,2.16543
0.000403254,2479.82,0.115852,0.00087509,-1.1979
0.000410089,2438.49,0.121699,0.000965656,0.274938
0.000416924,2398.52,0.12622,0.00103874,-1.77681
0.000423759,2359.83,0.222436,0.00322596,1.64143
0.000430594,2322.38,0.0515135,0.000173018,-2.97021
0.000437428,2286.09,0.211865,0.00292664,2.12355
0.000444263,2250.92,0.180616,0.00212697,-0.396641
0.000451098,2216.81,0.153396,0.00153419,2.46011
0.000457933,2183.73,0.0965868,0.000608253,0.281926
0.000464768,2151.61,0.0174485,1.98502e-05,0.0170582
0.000471602,2120.43,0.212272,0.00293789,-0.64843
0.000478437,2090.14,0.140955,0.00129543,-2.4838
0.000485272,2060.7,0.16255,0.00172276,0.465508
0.000492107,2032.08,0.13219,0.00113933,-0.931438
0.000498942,2004.24,0.145822,0.00138642,0.063138
0.000505777,1977.16,0.147914,0.00142649,-2.43247
0.000512611,1950.8,0.230321,0.00345871,2.78565
0.000519446,1925.13,0.239171,0.00372964,2.30936
0.000526281,1900.13,0.23637,0.00364277,0.844001
0.000533116,1875.76,0.296405,0.00572823,-0.774656
0.000539951,1852.02,0.248888,0.00403884,-3.13244
0.000546785,1828.87,0.269927,0.00475052,-1.09501
0.00055362,1806.29,0.116361,0.000882804,-1.33708
0.000560455,1784.26,0.148725,0.00144218,-1.21326
0.00056729,1762.77,0.088417,0.000509707,-0.314606
0.000574125,1741.78,0.0472389,0.000145495,-0.0221797
0.00058096,1721.29,0.121593,0.000963976,-2.7207
0.000587794,1701.28,0.0672392,0.000294777,-0.191026
0.000594629,1681.72,0.137838,0.00123876,2.01848
0.000601464,1662.61,0.176513,0.00203143,2.63007
0.000608299,1643.93,0.170588,0.00189734,-0.506861
0.000615134,1625.66,0.29442,0.00565175,-3.01746
0.000621969,1607.8,0.258841,0.00436833,-3.12343
0.000628803,1590.32,0.0640685,0.000267633,1.64993
0.000635638,1573.22,0.141314,0.00130203,0.423199
0.000642473,1556.49,0.152391,0.00151415,-1.90107
0.000649308,1540.1,0.247833,0.00400466,0.22871
0.000656143,1524.06,0.18847,0.00231597,-1.11547
0.000662977,1508.35,0.0705842,0.000324836,2.66559
0.000669812,1492.96,0.090347,0.000532203,-2.42322
0.000676647,1477.88,0.176888,0.00204008,2.48913
0.000683482,1463.1,0.104508,0.000712108,1.66556
0.000690317,1448.61,0.0883739,0.000509211,1.68803
0.000697152,1434.41,0.119596,0.000932567,-1.80469
0.000703986,1420.48,0.139778,0.00127387,1.98381
0.000710821,1406.82,0.28278,0.00521371,1.052
0.000717656,1393.43,0.278947,0.00507333,0.969443
0.000724491,1380.28,0.242573,0.00383648,0.13367
0.000731326,1367.38,0.114505,0.000854865,-2.07472
0.00073816,1354.72,0.187118,0.00228287,-1.21102
0.000744995,1342.29,0.272959,0.00485786,-2.89332
0.00075183,1330.09,0.133738,0.00116617,0.445979
0.000758665,1318.11,0.129886,0.00109994,-0.480793
0.0007655,1306.34,0.189399,0.00233887,-0.389843
0.000772335,1294.78,0.19295,0.0024274,0.0781507
0.000779169,1283.42,0.270137,0.00475791,0.958902
0.000786004,1272.26,0.0856815,0.000478656,0.145323
0.000792839,1261.29,0.210162,0.00287976,1.71566
0.000799674,1250.51,0.266406,0.0046274,2.7133
0.000806509,1239.91,0.112988,0.000832371,2.84465
0.000813343,1229.49,0.151179,0.00149016,-0.0155363
0.000820178,1219.25,0.222378,0.00322429,-1.65337
0.000827013,1209.17,0.305845,0.00609892,-1.73545
0.000833848,1199.26,0.292598,0.00558202,0.568289
0.000840683,1189.51,0.301089,0.00591069,-0.917942
0.000847518,1179.92,0.12795,0.00106741,-1.61795
0.000854352,1170.48,0.150986,0.00148635,3.08334
0.000861187,1161.19,0.254695,0.0042295,2.62069
0.000868022,1152.04,0.149716,0.00146145,-2.87269
0.000874857,1143.04,0.319629,0.00666102,2.60393
0.000881692,1134.18,0.0483216,0.000152241,-0.530089
0.000888526,1125.46,0.198646,0.00257283,-0.769191
0.000895361,1116.87,0.279325,0.00508707,-1.57442
0.000902196,1108.41,0.12526,0.00102299,2.70653
0.000909031,1100.07,0.167876,0.0018375,1.90058
0.000915866,1091.86,0.187856,0.00230092,1.95847
0.000922701,1083.78,0.176086,0.00202162,-1.12115
0.000929535,1075.81,0.288805,0.00543825,-2.65042
0.00093637,1067.95,0.254952,0.00423805,-2.99741
0.000943205,1060.21,0.220893,0.00318135,-1.9757
0.00095004,1052.59,0.138684,0.00125401,-1.06534
0.000956875,1045.07,0.249155,0.00404752,-1.77015
0.000963709,1037.66,0.15637,0.00159425,1.49354
0.000970544,1030.35,0.292714,0.00558644,0.527676
