freq_1m,wavelength_m,B_amp,B_psd,B_phase_rad
0,inf,1.90994e-10,2.29605e-21,0
6.67307e-06,149856,14238.6,1.27609e+07,-0.315339
1.33461e-05,74928.1,53313.7,1.78904e+08,2.07278
2.00192e-05,49952.1,75047.9,3.54503e+08,-1.98767
2.66923e-05,37464,44646.6,1.25464e+08,2.65594
3.33653e-05,29971.2,34969.4,7.69697e+07,1.05026
4.00384e-05,24976,23212.7,3.39153e+07,2.42885
4.67115e-05,21408,55212,1.91871e+08,-1.81897
5.33845e-05,18732,28387.7,5.07229e+07,-2.17544
6.00576e-05,16650.7,40823.1,1.04895e+08,0.452509
6.67307e-05,14985.6,24050.9,3.64088e+07,-2.62091
7.34037e-05,13623.3,46787.5,1.37785e+08,-3.13248
8.00768e-05,12488,46637,1.369e+08,-0.505393
8.67499e-05,11527.4,28314,5.04597e+07,-0.666492
9.34229e-05,10704,88107.3,4.88614e+08,0.993316
0.000100096,9990.41,50778.5,1.62294e+08,-0.965813
0.000106769,9366.01,35838.7,8.08439e+07,-2.07128
0.000113442,8815.07,7385.85,3.43356e+06,3.02539
0.000120115,8325.34,30615.2,5.89952e+07,1.62325
0.000126788,7887.17,42450.4,1.13425e+08,1.73102
0.000133461,7492.81,18082.9,2.05815e+07,-1.8362
0.000140134,7136.01,71632.9,3.22974e+08,-0.789211
0.000146807,6811.64,10797.3,7.33798e+06,-1.59065
0.000153481,6515.49,54204.2,1.84931e+08,2.9571
0.000160154,6244.01,27836.7,4.87729e+07,3.01314
0.000166827,5994.25,18886.9,2.24525e+07,-2.28761
0.0001735,5763.7,17292.1,1.88208e+07,0.743976
0.000180173,5550.23,13219.6,1.09996e+07,0.188797
0.000186846,5352.01,29605,5.5166e+07,3.11487
0.000193519,5167.45,56409.2,2.00283e+08,0.216461
0.000200192,4995.21,44535.1,1.24838e+08,0.0513874
0.000206865,4834.07,41111.9,1.06384e+08,2.0856
0.000213538,4683,44517.7,1.24741e+08,1.38818
0.000220211,4541.1,19110.7,2.29878e+07,1.03144
0.000226884,4407.53,13125,1.08428e+07,-1.02881
0.000233557,4281.6,16635.5,1.74187e+07,-0.665205
0.00024023,4162.67,53251.6,1.78488e+08,-0.454006
0.000246903,4050.17,27450.1,4.74275e+07,2.76069
0.000253576,3943.58,40456.8,1.03021e+08,1.68973
0.00026025,3842.47,15782.1,1.56774e+07,-2.14071
0.000266923,3746.4,13043.2,1.0708e+07,-0.879169
0.000273596,3655.03,33773.6,7.17955e+07,0.443001
0.000280269,3568,4905.11,1.5144e+06,-3.09202
0.000286942,3485.03,24088.9,3.6524e+07,-0.864607
0.000293615,3405.82,9243.64,5.3781e+06,0.157446
0.000300288,3330.14,28038.9,4.94841e+07,0.507579
0.000306961,3257.74,12178.8,9.33578e+06,0.846485
0.000313634,3188.43,41314.8,1.07437e+08,1.61666
0.000320307,3122,35357.1,7.86857e+07,-2.20655
0.00032698,3058.29,27442.2,4.74002e+07,3.1264
0.000333653,2997.12,14132.8,1.25718e+07,-0.149014
0.000340326,2938.36,12553.4,9.91899e+06,1.78367
0.000346999,2881.85,6929.24,3.02213e+06,2.57448
0.000353672,2827.47,18618,2.18177e+07,-1.17206
0.000360346,2775.11,23146.8,3.37229e+07,0.562126
0.000367019,2724.66,13871.6,1.21114e+07,2.8863
0.000373692,2676,24804.4,3.87259e+07,-3.10691
0.000380365,2629.06,35484.4,7.92533e+07,-0.409191
0.000387038,2583.73,36700,8.47766e+07,-0.184121
0.000393711,2539.93,12371.5,9.63361e+06,0.28257
0.000400384,2497.6,21929.3,3.02687e+07,-3.12234
0.000407057,2456.66,8497.65,4.54507e+06,1.99571
0.00041373,2417.03,10366,6.7634e+06,1.4683
0.000420403,2378.67,13750.1,1.19002e+07,1.1435
