year,trunk_length_km,n_points,step_m,B_lambda_m,B_freq,B_amp,B_efold_m,B_integral_m,B_mean,B_std,C_lambda_m,C_freq,C_amp,C_efold_m,C_integral_m,C_mean,C_std,BC_phase_deg,BC_lag_m,BC_corr
2000,147.123780,1488,98.940000,5257.954286,0.000190,48999.443449,791.520000,842.670477,366.337130,164.805473,2495.300339,0.000401,0.392602,296.820000,198.825297,-0.000109,0.001478,-113.422772,3265.020000,0.127441
2001,142.188000,1446,98.400000,35571.600000,0.000028,58386.955075,590.400000,666.653690,349.894908,150.291870,1756.622222,0.000569,0.316609,295.200000,149.884355,-0.000059,0.001540,-100.883747,-11512.800000,0.126257
2002,148.445180,1535,96.770000,6747.508182,0.000148,53318.520586,483.850000,445.427955,326.139640,151.759477,1768.356548,0.000565,0.457723,193.540000,100.517466,0.000034,0.002006,-149.502956,-13741.340000,0.107621
2003,147.523470,1528,96.610000,10537.390714,0.000095,50520.978603,483.050000,468.101452,377.234832,175.069844,29524.016000,0.000034,0.490270,193.220000,139.600842,-0.000204,0.002060,-94.405567,-22220.300000,0.117398
2004,143.015220,1459,98.090000,10222.379286,0.000098,39357.475806,588.540000,431.944579,372.422759,143.976317,1883.069868,0.000531,0.362760,196.180000,130.354960,0.000018,0.001515,-16.131322,-11280.350000,0.105460
2005,146.872480,1493,98.440000,10490.891429,0.000095,56076.866580,590.640000,478.627281,399.531859,176.611592,6680.496364,0.000150,0.402674,196.880000,192.409955,-0.000088,0.001651,-124.363966,2657.880000,0.125171
2006,146.211990,1498,97.670000,36577.415000,0.000027,69876.137778,488.350000,356.923136,391.377783,182.475515,6650.439091,0.000150,0.467643,195.340000,117.602380,-0.000080,0.001985,110.232901,4981.170000,0.095524
2007,144.245700,1495,96.550000,36061.425000,0.000028,98579.507104,579.300000,687.445860,388.649833,207.882011,2255.347656,0.000443,0.491239,289.650000,141.472307,-0.000052,0.002220,134.839894,15158.350000,0.089934
2008,144.731420,1494,96.940000,10337.958571,0.000097,75100.731375,581.640000,395.194306,390.861184,185.831510,7622.545263,0.000131,0.517584,193.880000,161.879200,0.000107,0.001882,92.133593,-193.880000,0.162995
2009,150.387300,1534,98.100000,10741.950000,0.000093,63209.667739,490.500000,375.802757,428.218215,220.793956,8360.300000,0.000120,0.504311,196.200000,151.082573,0.000084,0.002109,77.873453,-588.600000,0.106021
2010,150.050400,1546,97.120000,10704.011429,0.000093,88107.279742,582.720000,539.968166,455.460621,242.656024,3128.073333,0.000320,0.507807,194.240000,143.434075,0.000055,0.002113,162.568224,4856.000000,0.124640
2011,144.690210,1468,98.630000,11137.603077,0.000090,51935.057129,591.780000,471.561922,442.185044,186.619468,16087.648889,0.000062,0.390393,295.890000,206.050337,-0.000049,0.001539,73.094798,-4931.500000,0.132052
2012,83.542820,854,97.940000,11934.688571,0.000084,46708.701279,881.460000,552.484509,505.876852,210.752817,8364.076000,0.000120,0.294110,293.820000,171.992287,0.000193,0.001646,-36.491569,-293.820000,0.217799
2013,151.114410,1540,98.190000,50306.010000,0.000020,72710.496697,687.330000,503.448880,460.176992,221.950196,3688.112195,0.000271,0.356450,196.380000,172.604533,0.000095,0.001712,52.475189,-15612.210000,0.132905
2014,147.362100,1507,97.850000,6407.047826,0.000156,60584.563834,880.650000,1438.275618,401.709257,196.090012,18432.493750,0.000054,0.466337,195.700000,226.066307,0.000011,0.001732,95.940398,-4011.850000,0.114475
2015,147.424360,1533,96.230000,8184.896111,0.000122,56428.912741,288.690000,372.367937,377.583784,197.736228,10537.185000,0.000095,0.490498,192.460000,171.709246,-0.000050,0.002090,79.087008,-25212.260000,0.125700
2016,145.238640,1507,96.440000,5368.493333,0.000186,66456.387256,482.200000,430.981782,383.828793,201.316742,13212.280000,0.000076,0.482148,192.880000,138.714666,-0.000012,0.002044,153.454949,2314.560000,0.127384
2017,135.555000,1401,96.825000,45185.000000,0.000022,52503.191387,677.775000,542.983029,393.084491,204.192516,22608.637500,0.000044,0.478596,193.650000,217.377722,-0.000176,0.001949,92.219676,22076.100000,0.148889
2018,147.655550,1506,98.110000,6424.072174,0.000156,71531.003879,882.990000,633.196243,482.645218,229.177163,7776.508421,0.000129,0.360634,196.220000,130.868196,-0.000070,0.001723,-168.119112,-16384.370000,0.117202
2019,144.474300,1467,98.550000,36044.662500,0.000028,51164.856199,788.400000,579.782119,432.937346,164.648506,18071.606250,0.000055,0.304071,197.100000,154.120947,0.000101,0.001450,-135.635889,6208.650000,0.134478
2020,142.999000,1451,98.620000,10984.750769,0.000091,66260.495040,788.960000,567.560265,426.704604,155.336327,2235.900312,0.000447,0.267139,197.240000,155.354612,0.000014,0.001239,96.246628,-2958.600000,0.131048
2021,143.715060,1459,98.570000,11039.840000,0.000091,77364.257673,689.990000,682.465201,471.194612,182.838010,5752.545200,0.000174,0.269896,197.140000,134.522732,0.000079,0.001367,-76.449998,-6899.900000,0.130017
2022,141.683220,1450,97.780000,10898.709231,0.000092,56490.750309,488.900000,479.901961,439.294376,183.456409,12889.181818,0.000078,0.310934,195.560000,229.070479,0.000019,0.001491,26.332690,-24738.340000,0.132832
2023,103.819100,1068,97.300000,5453.921053,0.000183,58053.491059,291.900000,353.330426,437.634440,215.376869,3848.755556,0.000260,0.464842,291.900000,173.043501,0.000044,0.002025,-75.290101,194.600000,0.110609
