param,value,sigma_r_max,k_max,c_migr,diff_pct
theta_c,0.03,0.3817748108216068,5.576472436450285,0.567849018481022,5.933429327462831
theta_c,0.04,0.3684892930445376,5.612034359782893,0.5696111567860795,2.247014145992036
theta_c,0.047,0.36039125066126143,5.634629957383653,0.5707445570570828,0.0
theta_c,0.055,0.35398560298890325,4.20031912149184,0.568855709171765,-1.7774148680371193
theta_c,0.06,0.3523798305817128,4.205794806335979,0.5693079487121921,-2.222978517055821
b,1.2,0.2575670263959987,4.099274493211819,0.5518591560558159,-28.531276515896653
b,1.5,0.36039125066126143,5.634629957383653,0.5707445570570828,0.0
b,1.8,0.47049956503273194,5.745069433307941,0.5855191997282321,30.552438265201783
b,2.0,0.5338588989679445,5.774370140677222,0.5928660209177244,48.133146403636914
b,2.5,0.689873089723534,7.378087899150168,0.6166252463265858,91.42337347472366
Gamma,2.0,0.4237315203508441,5.502840404198463,0.5649290489464643,17.575418263723996
Gamma,3.0,0.39202559185014574,5.568808323703214,0.5678526675095489,8.77777724371506
Gamma,4.0,0.36039125066126143,5.634629957383653,0.5707445570570828,0.0
Gamma,5.0,0.34368359408839394,4.216857772658759,0.5697302875562918,-4.6359773002845
Gamma,6.0,0.33056582874201434,4.242416249278218,0.5713387880266954,-8.275845172301523
