beta,Cf,Fr,sigma_r_max,k_max
15.0,0.0005,0.2,-8.292354405028787e-05,16.083393406144353
15.0,0.0005,0.4,-0.0003286872319313397,18.958526310953385
15.0,0.0005,0.6,-0.000728594211495726,18.849851831326827
15.0,0.002,0.2,-0.00033169417690093704,20.000000000000004
15.0,0.002,0.4,-0.0013147489374402252,19.94195617671669
15.0,0.002,0.6,-0.0029143769477987134,19.982804878517676
15.0,0.01,0.2,0.059124481213439245,2.1291212726846322
15.0,0.01,0.4,0.058469799323438466,2.1043330228871238
15.0,0.01,0.6,0.05740886629510694,2.0648212027669555
15.0,0.03,0.2,0.19610617944144026,2.860747150780911
15.0,0.03,0.4,0.19058017716609024,2.797423762337402
15.0,0.03,0.6,0.1818340128934277,2.697244134978246
45.0,0.0005,0.2,-0.0002487706326254784,20.000000000000004
45.0,0.0005,0.4,-0.0009860616999696422,19.9321543538407
45.0,0.0005,0.6,-0.002185782676616656,19.93613902815843
45.0,0.002,0.2,0.08463374090237877,1.6908121468822779
45.0,0.002,0.4,0.08409068001754606,1.6715815750363674
45.0,0.002,0.6,0.08321156920439282,1.6409700405678593
45.0,0.01,0.2,0.2955364967341981,4.606872368792868
45.0,0.01,0.4,0.2911959573693185,4.535124257586129
45.0,0.01,0.6,0.2842411151702853,4.4210851294207165
45.0,0.03,0.2,0.5883185383240489,8.58224202428226
45.0,0.03,0.4,0.571740531500665,8.392235374399569
45.0,0.03,0.6,0.5455020386867006,8.091760964014549
130.0,0.0005,0.2,0.08533412876640138,1.4500130550319168
130.0,0.0005,0.4,0.08491307236297853,1.4333532651428584
130.0,0.0005,0.6,0.08423175040871576,1.406899287300531
130.0,0.002,0.2,0.2700315760178632,3.7328681946765996
130.0,0.002,0.4,0.2676545704193857,3.6822875803839077
130.0,0.002,0.6,0.2638277656869926,3.60183606404254
130.0,0.01,0.2,0.8762377000783542,11.912234811771318
130.0,0.01,0.4,0.8620654950815603,11.708801734073221
130.0,0.01,0.6,0.8394227152915056,11.385675730141044
130.0,0.03,0.2,1.665709977729142,20.000000000000004
130.0,0.03,0.4,1.6256002428163796,20.000000000000004
130.0,0.03,0.6,1.5589438076077018,20.000000000000004
250.0,0.0005,0.2,0.16323345007969542,2.8640185113801198
250.0,0.0005,0.4,0.16245626688743467,2.8314908202150564
250.0,0.0005,0.6,0.16119822437376266,2.7798351220997373
250.0,0.002,0.2,0.5189292270547637,7.382336346070507
250.0,0.002,0.4,0.5144994807767626,7.284075982673581
250.0,0.002,0.6,0.5073641339053715,7.127751800052205
250.0,0.01,0.2,1.6755908622332132,20.000000000000004
250.0,0.01,0.4,1.6505813033541357,20.000000000000004
250.0,0.01,0.6,1.609023835465992,20.000000000000004
250.0,0.03,0.2,2.4023786500342803,20.000000000000004
250.0,0.03,0.4,2.3498721017703033,20.000000000000004
250.0,0.03,0.6,2.261722588644263,20.000000000000004
