year,sensors,scenes,window,Q_mean_m3s,Q_wsrs_m3s,B_wet_m,B_bf_m
2000,Landsat 5/7,21,Apr-Nov,1280,2200-2600,482,532.0
2001,Landsat 7,19,Apr-Oct,1150,2100-2500,495,546.0
2003,Landsat 7,24,May-Nov,1420,2300-2700,470,536.0
2005,Landsat 5/7,28,Apr-Nov,1310,2400-2800,435,497.0
2007,Landsat 5/7,26,Apr-Oct,1390,2500-3000,460,537.0
2011,Landsat 5/7,22,May-Nov,1520,2600-3200,490,593.0
2015,Landsat 7/8,31,Apr-Nov,1480,2600-3300,525,632.0
2016,Landsat 8,29,Apr-Nov,1450,2500-3200,518,624.0
2019,Landsat 8,33,Apr-Nov,1620,2800-3500,530,652.0
2021,Landsat 8/9,34,Apr-Nov,1710,2900-3600,542,665.0
2025,Landsat 8/9,30,Apr-Oct,1550,2700-3400,538,
