year,Q25,Median_raw,Median_1B_smoothed,Q75,P90,pct_lt_005,pct_lt_010,pct_lt_020
2000,0.06,0.15,0.09,0.32,0.58,26.4,48.2,73.1
2001,0.05,0.14,0.09,0.3,0.54,28.1,51.0,75.4
2003,0.07,0.17,0.1,0.35,0.62,23.5,45.3,69.8
2005,0.06,0.16,0.09,0.33,0.59,25.2,47.6,72.0
2007,0.06,0.15,0.09,0.31,0.56,27.0,49.5,74.2
2011,0.05,0.13,0.08,0.28,0.51,29.8,53.2,77.5
2015,0.06,0.14,0.09,0.29,0.53,28.4,51.8,76.1
2016,0.06,0.14,0.09,0.3,0.54,27.9,51.2,75.8
2019,0.05,0.13,0.08,0.27,0.49,31.2,54.5,78.4
2021,0.05,0.13,0.08,0.28,0.5,30.5,53.8,77.9
2025,0.05,0.12,0.08,0.26,0.48,32.1,55.2,79.1
