year,beta,Fr,Cf,H_m,B_m,omega_i_max,alpha_crit,lambda_crit_hw,lambda_crit_m,stability_class,curvature_enh_pct,nu_beta,mode_type,alpha_unstable_min,alpha_unstable_max,n_unstable_frac,m_cm,B_lambda_m,C_lambda_m,BC_corr,B_mean_obs,B_efold_m,C_efold_m,lambda_ratio_B,sigma_mean,sigma_std
2000,252.6,0.4801,0.000503,2.108,532.4,0.17174273708102264,0.01,628.3185307179587,1324.4954627534569,weakly_unstable,2.0597528817934885,1.0104,long_wave_bend,0.01,0.08532663316582914,0.01,95,5257.954286,2495.300339,0.127441,366.33713,791.52,296.82,0.2519031909958026,-6.304386705399963e-06,0.001009005397268945
2001,306.3,0.6017,0.00032,1.783,546.1,0.13786843369585572,0.01,628.3185307179587,1120.2919402701202,weakly_unstable,2.558377814422919,1.2252,long_wave_bend,0.01,0.01,0.005,115,35571.6,1756.622222,0.126257,349.894908,590.4,295.2,0.03149399915297935,-5.761920719104389e-06,0.0009309313454779366
2002,256.5,0.4078,0.000698,2.082,534.2,0.22554193570811001,0.01,628.3185307179587,1308.15918095479,weakly_unstable,1.4969440966502063,1.026,long_wave_bend,0.01,0.08532663316582914,0.01,96,6747.508182,1768.356548,0.107621,326.13964,483.85,193.54,0.19387292992759947,9.569842188551492e-06,0.001185761956290047
2003,198.2,0.3016,0.001275,2.704,535.8,0.24682279082016859,0.01,628.3185307179587,1698.9733070613604,weakly_unstable,1.3519751435346103,0.7928,long_wave_bend,0.01,0.08532663316582914,0.01,74,10537.390714,29524.016,0.117398,377.234832,483.05,193.22,0.1612328282374593,2.409668846940871e-06,0.0013210897487785551
2005,137.5,0.3375,0.001018,3.611,496.5,0.15194546302857045,0.01,628.3185307179587,2268.858214422549,weakly_unstable,0.5218206914124841,0.55,long_wave_bend,0.01,0.08532663316582914,0.01,51,10490.891429,6680.496364,0.125171,399.531859,590.64,196.88,0.2162693446765389,4.8492345778460305e-06,0.0010101603708039426
2007,136.3,0.3179,0.001148,3.938,536.6,0.16072070514511808,0.01,628.3185307179587,2474.3183739673213,weakly_unstable,0.48932600002014204,0.5452,long_wave_bend,0.01,0.08532663316582914,0.01,51,36061.425,2255.347656,0.089934,388.649833,579.3,289.65,0.06861399331743882,3.79546884089173e-07,0.001320416110851613
2011,128.9,0.2595,0.001723,4.598,592.8,0.18252546374224482,0.01,628.3185307179587,2889.008604241174,weakly_unstable,0.4265814545158935,0.5156000000000001,long_wave_bend,0.01,0.1606532663316583,0.015,48,11137.603077,16087.648889,0.132052,442.185044,591.78,295.89,0.2593923112781059,1.64667129403171e-05,0.001003769811066431
2012,133.3,0.2583,0.001739,4.565,608.3,0.18877672697888134,0.01,628.3185307179587,2868.2740927274813,weakly_unstable,0.40951003850666406,0.5332,long_wave_bend,0.01,0.1606532663316583,0.015,50,11934.688571,8364.076,0.217799,505.876852,881.46,293.82,0.2403308704424074,4.8410430522584516e-06,0.001063932597413296
2013,135.4,0.2647,0.001656,4.575,619.5,0.1879871805304289,0.01,628.3185307179587,2874.557278034661,weakly_unstable,0.4104833815682658,0.5416000000000001,long_wave_bend,0.01,0.1606532663316583,0.015,51,50306.01,3688.112195,0.132905,460.176992,687.33,196.38,0.05714142858944013,-5.065473122395104e-06,0.0013238944350924104
2014,133.0,0.266,0.00164,4.667,620.5,0.18433906226792132,0.01,628.3185307179587,2932.362582860713,weakly_unstable,0.42032608790983084,0.532,long_wave_bend,0.01,0.1606532663316583,0.015,50,6407.047826,18432.49375,0.114475,401.709257,880.65,195.7,0.4576776485046817,4.228240683015734e-06,0.0011724723850860433
2015,132.5,0.2525,0.001819,4.769,631.7,0.19076858601952473,0.01,628.3185307179587,2996.4510729939448,weakly_unstable,0.40536584836468204,0.53,long_wave_bend,0.01,0.1606532663316583,0.015,50,8184.896111,10537.185,0.1257,377.583784,288.69,192.46,0.36609518708085953,-3.234241237446248e-06,0.001481802645475983
2016,132.4,0.2612,0.0017,4.712,623.7,0.18608782810137256,0.01,628.3185307179587,2960.636916743021,weakly_unstable,0.41637146555688787,0.5296000000000001,long_wave_bend,0.01,0.1606532663316583,0.015,50,5368.493333,13212.28,0.127384,383.828793,482.2,192.88,0.5514837652016921,-1.5891106334863045e-05,0.001425864421415155
2017,130.6,0.2538,0.0018,4.789,625.4,0.18762193481120606,0.01,628.3185307179587,3009.017443608304,weakly_unstable,0.41353957745306663,0.5224,long_wave_bend,0.01,0.1606532663316583,0.015,49,45185.0,22608.6375,0.148889,393.084491,677.775,193.65,0.06659328192117525,1.6074049304829505e-05,0.0013419613487005723
2019,131.6,0.2408,0.002,4.959,652.4,0.1956016273914169,0.01,628.3185307179587,3115.8315938303567,weakly_unstable,0.39526983858645603,0.5264,long_wave_bend,0.01,0.1606532663316583,0.015,49,36044.6625,18071.60625,0.134478,432.937346,788.4,197.1,0.08644363347362059,-2.8341674764462657e-05,0.000947972719415392
