year,beta,Fr,Cf,theta,H_m,B_m,sigma_r_max,k_max,alpha_max,lambda_max_m,c_migr,E_pct,nu_beta
2000,252.6,0.48,0.0005,1.8,2.11,532.4,0.1608,2.85,0.0113,1173.4,0.556,0.0,0.35
2001,306.3,0.602,0.00032,1.5,1.78,546.1,0.1276,2.57,0.0084,1333.1,0.551,0.0,0.36
2002,256.5,0.408,0.0007,1.8,2.08,534.2,0.2201,3.22,0.0125,1042.9,0.56,0.0,0.36
2003,198.2,0.302,0.00128,2.3,2.7,535.8,0.2815,3.64,0.0184,924.4,0.565,0.0,0.36
2005,137.5,0.338,0.00102,3.0,3.61,496.5,0.1585,3.01,0.0219,1035.5,0.559,0.0,0.33
2007,136.3,0.318,0.00115,3.3,3.94,536.6,0.179,3.12,0.0229,1079.8,0.56,0.0,0.36
2011,128.9,0.26,0.00172,3.9,4.6,592.8,0.2454,3.51,0.0272,1060.6,0.564,0.0,0.4
2012,133.3,0.258,0.00174,3.8,4.57,608.3,0.2554,3.56,0.0267,1074.0,0.564,0.0,0.41
2013,135.4,0.265,0.00166,3.8,4.58,619.5,0.2495,3.52,0.026,1106.7,0.564,0.0,0.41
2014,133.0,0.266,0.00164,3.9,4.67,620.5,0.2435,3.49,0.0262,1118.4,0.564,0.0,0.41
2015,132.5,0.253,0.00182,4.0,4.77,631.7,0.2639,3.6,0.0272,1101.4,0.565,0.0,0.42
2016,132.4,0.261,0.0017,4.0,4.71,623.7,0.2498,3.52,0.0266,1112.4,0.564,0.0,0.42
2017,130.6,0.254,0.0018,4.0,4.79,625.4,0.2583,3.58,0.0274,1099.1,0.564,0.0,0.42
2019,131.6,0.241,0.002,4.2,4.96,652.4,0.2826,3.71,0.0282,1105.1,0.565,0.0,0.43
