s_m,lon,lat,B_m,C_1m
0.000000,115.058961,35.377228,598.020000,0.000000
95.240000,115.060010,35.377228,627.920000,0.000882
190.480000,115.061058,35.377228,627.920000,0.001855
285.710000,115.061950,35.376958,598.020000,0.000000
380.950000,115.062842,35.376689,598.020000,-0.001761
476.190000,115.063890,35.376689,598.020000,0.000973
571.430000,115.064921,35.376659,598.020000,0.001648
666.670000,115.065675,35.376150,553.170000,-0.002226
761.900000,115.066723,35.376150,598.020000,-0.002624
857.140000,115.067703,35.376268,568.120000,-0.000630
952.380000,115.068663,35.376419,538.220000,-0.000238
952.380000,115.068663,35.376419,672.770000,0.003036
1031.850000,115.069226,35.376958,418.610000,0.004150
1111.310000,115.069969,35.377186,448.520000,0.003537
1190.770000,115.070819,35.377228,358.810000,0.001808
1190.770000,115.070819,35.377228,299.010000,0.000000
1290.030000,115.071610,35.377749,224.260000,-0.001042
1389.280000,115.072401,35.378271,209.310000,-0.002597
1488.530000,115.072885,35.379024,254.160000,-0.001555
1587.780000,115.073160,35.379838,284.060000,0.001028
1687.030000,115.073643,35.380591,328.910000,0.000537
1786.280000,115.074323,35.381287,328.910000,-0.001536
1885.530000,115.074610,35.382097,343.860000,0.000000
1984.780000,115.074886,35.382911,403.660000,0.001266
2084.030000,115.075578,35.383603,463.470000,-0.000170
2183.280000,115.075940,35.384392,418.610000,0.000060
2282.530000,115.076479,35.385129,508.320000,-0.000196
2381.780000,115.077018,35.385866,463.470000,-0.000688
2481.030000,115.077304,35.386677,493.370000,0.000365
2580.280000,115.077826,35.387419,508.320000,0.000309
2679.530000,115.078271,35.388183,508.320000,-0.000165
2778.780000,115.078754,35.388936,538.220000,0.000099
2878.030000,115.079174,35.389708,553.170000,0.000329
2977.280000,115.079722,35.390442,553.170000,-0.000000
3076.530000,115.080205,35.391195,553.170000,-0.000453
3175.790000,115.080689,35.391949,523.270000,-0.000537
3275.040000,115.081060,35.392735,598.020000,0.000569
3374.290000,115.081448,35.393516,568.120000,0.000537
3473.540000,115.082138,35.394208,568.120000,-0.001354
3572.790000,115.082415,35.395022,583.070000,-0.000537
3672.040000,115.082690,35.395836,553.170000,0.001074
3771.290000,115.083174,35.396589,598.020000,0.000537
3870.540000,115.083657,35.397342,612.970000,0.000522
3969.790000,115.084141,35.398095,627.920000,0.001018
4069.040000,115.084833,35.398788,598.020000,0.000992
4069.040000,115.084833,35.398788,612.970000,0.001074
4168.680000,115.085111,35.399604,538.220000,0.000537
4268.320000,115.085597,35.400360,553.170000,0.000533
4367.970000,115.085875,35.401177,568.120000,0.001239
4467.610000,115.086570,35.401872,598.020000,0.000878
4567.250000,115.087095,35.402560,612.970000,0.000103
4666.900000,115.087797,35.403167,598.020000,-0.000614
4766.540000,115.088336,35.403908,598.020000,-0.001091
4766.540000,115.088336,35.403908,538.220000,-0.000997
4857.510000,115.088554,35.404664,583.070000,-0.000343
4948.470000,115.088606,35.405469,463.470000,0.001651
5039.440000,115.088875,35.406210,433.570000,0.002303
5130.410000,115.089414,35.406872,448.520000,0.001616
5130.410000,115.089414,35.406872,1001.690000,0.000000
5206.730000,115.089947,35.406340,1121.290000,-0.000859
5283.050000,115.090479,35.405808,1046.540000,-0.002781
5359.380000,115.091110,35.405446,792.380000,-0.002912
